cluster,token,τ,Φ,order
2,both,52,0.623765886,4
2,both,52,0.563807547,5
2,both,52,0.583996117,6
2,both,52,0.616999865,7
2,both,52,0.616999865,8
2,both,52,0.60830164,9
0,build,23,0.638098836,0
0,build,52,0.561001003,1
0,build,52,0.63231194,2
0,build,52,0.638098836,3
0,build,52,0.541885853,4
0,build,52,0.649880409,5
0,build,52,0.649880409,6
0,build,52,0.516791821,7
0,build,52,0.535093844,8
0,build,52,0.638098836,9
1,build,35,0.322024345,0
1,build,36,0.33010596,1
1,build,36,0.22272864,2
1,build,36,0.443966031,3
1,build,36,0.385903805,4
1,build,36,0.392416805,5
1,build,36,0.334602058,6
1,build,36,0.425107509,7
1,build,36,0.347369164,8
1,build,66,0.722476542,9
0,but,52,0.562494099,0
0,but,52,0.597734272,1
0,but,52,0.97242105,2
0,but,262,0.97242105,3
0,but,292,0.97242105,4
0,but,292,0.97242105,5
0,but,292,0.97242105,6
1,but,20,0.486900836,0
1,but,22,0.598545969,1
1,but,22,0.484597147,2
1,but,22,0.487714529,3
1,but,22,0.492127538,4
1,but,23,0.416115195,5
1,but,24,0.577857673,6
1,but,24,0.47511372,7
1,but,24,0.327771604,8
1,but,26,0.322475255,9
2,but,52,0.785679162,0
2,but,52,0.910992503,1
2,but,52,0.910992503,2
2,but,52,0.910992503,3
2,but,52,0.785679162,4
0,cached,36,0.649405897,0
0,cached,36,0.607449591,1
0,cached,36,0.713660419,2
0,cached,36,0.785404146,3
0,cached,36,0.724463582,4
0,cached,36,0.793309987,5
0,cached,36,0.808403254,6
0,cached,36,0.858020544,7
0,cached,36,0.757840157,8
0,cached,36,0.881137848,9
1,cached,36,0.859268606,0
1,cached,36,0.88485235,1
1,cached,36,0.782582819,2
1,cached,36,0.857001126,3
1,cached,36,0.865467787,4
1,cached,36,0.886232316,5
1,cached,36,0.8920331,6
1,cached,36,0.90082705,7
1,cached,36,0.860351801,8
1,cached,36,0.843876362,9
0,call,34,0.366774023,0
0,call,50,0.577031255,1
0,call,52,0.556399345,2
0,call,52,0.462974191,3
0,call,52,0.527090132,4
0,call,52,0.524872184,5
0,call,52,0.664937913,6
0,call,52,0.631101429,7
0,call,52,0.603692949,8
0,call,52,0.540477276,9
1,call,36,0.936181784,0
1,call,36,0.936727524,1
